study,sample,genotype,name,platform_model,stage,stage PO,stage PO name,tissue,tissue PO,tissue PO name,treatment,treatment PECO,treatment PECO name
SRP141021,SRR7031008,cv Chinese Spring,SRR7031008,Illumina HiSeq 4000,4_DAT_heat_leaf,,,leaf tissues,PO_0025034,leaf,heat,PECO:0007173,warm/hot temperature exposure
SRP141021,SRR7031007,cv Chinese Spring,SRR7031007,Illumina HiSeq 4000,4_DAT_heat_leaf,,,leaf tissues,PO_0025034,leaf,heat,PECO:0007173,warm/hot temperature exposure
SRP141021,SRR7031006,cv Chinese Spring,SRR7031006,Illumina HiSeq 4000,4_DAT_heat_leaf,,,leaf tissues,PO_0025034,leaf,heat,PECO:0007173,warm/hot temperature exposure
SRP141021,SRR7031005,cv Chinese Spring,SRR7031005,Illumina HiSeq 4000,4_DAT_heat_leaf,,,leaf tissues,PO_0025034,leaf,heat,PECO:0007173,warm/hot temperature exposure
SRP187127,SRR8647646,bainong4199,wheat_seed_05_01,Illumina HiSeq 2500,5 days after pollination,PO_0004505,fertilized ovule stage,immature seed,PO_0009010,seed,NA,NA,NA
SRP187343,SRR8658950,Xiaoyan-6,GR5-1,Illumina HiSeq 2500,5 days post-anthesis,PO_0001170,seed development stage,grains at 5 DPA replicate 1,PO_0009010,seed,NA,NA,NA
SRP187343,SRR8658949,Xiaoyan-6,GR5-2,Illumina HiSeq 2500,5 days post-anthesis,PO_0001170,seed development stage,grains at 5 DPA replicate 2,PO_0009010,seed,NA,NA,NA
SRP157931,SRR7692656,W2691,6,Illumina HiSeq 2500,6 days post inoculation,,,leaf,PO_0025034,leaf,NA,NA,NA
SRP157931,SRR7692651,W2691,3,Illumina HiSeq 2500,6 days post inoculation,,,leaf,PO_0025034,leaf,NA,NA,NA
SRP157931,SRR7692649,W2691,9,Illumina HiSeq 2500,6 days post inoculation,,,leaf,PO_0025034,leaf,NA,NA,NA
SRP157931,SRR7692644,W2691+Sr9b,36,Illumina HiSeq 2500,6 days post inoculation,,,leaf,PO_0025034,leaf,NA,NA,NA
SRP157931,SRR7692639,W2691+Sr9b,33,Illumina HiSeq 2500,6 days post inoculation,,,leaf,PO_0025034,leaf,NA,NA,NA
SRP157931,SRR7692636,W2691,18,Illumina HiSeq 2500,6 days post inoculation,,,leaf,PO_0025034,leaf,NA,NA,NA
SRP157931,SRR7692635,W2691,15,Illumina HiSeq 2500,6 days post inoculation,,,leaf,PO_0025034,leaf,NA,NA,NA
SRP157931,SRR7692630,W2691,12,Illumina HiSeq 2500,6 days post inoculation,,,leaf,PO_0025034,leaf,NA,NA,NA
SRP157931,SRR7692616,W2691+Sr9b,24,Illumina HiSeq 2500,6 days post inoculation,,,leaf,PO_0025034,leaf,NA,NA,NA
SRP157931,SRR7692613,W2691+Sr9b,21,Illumina HiSeq 2500,6 days post inoculation,,,leaf,PO_0025034,leaf,NA,NA,NA
SRP157931,SRR7692611,W2691+Sr9b,27,Illumina HiSeq 2500,6 days post inoculation,,,leaf,PO_0025034,leaf,NA,NA,NA
SRP157931,SRR7692608,W2691+Sr9b,30,Illumina HiSeq 2500,6 days post inoculation,,,leaf,PO_0025034,leaf,NA,NA,NA
SRP108671,SRR5648052,Roshan,SRR5648052,Illumina HiSeq 2000,6 leaf,PO:0007123,LP.06 six leaves visible stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP108671,SRR5647969,Roshan,SRR5647969,Illumina HiSeq 2000,6 leaf,PO:0007123,LP.06 six leaves visible stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP155866,SRR7628940,,SRR7628940,Illumina HiSeq 2500,6-day-seedlings,PO:0007131,seedling development stage,wheat coleoptiles,PO_0020033,coleoptile,NA,NA,NA
SRP155866,SRR7628939,,SRR7628939,Illumina HiSeq 2500,6-day-seedlings,PO:0007131,seedling development stage,wheat coleoptiles,PO_0020033,coleoptile,NA,NA,NA
SRP155866,SRR7628938,,SRR7628938,Illumina HiSeq 2500,6-day-seedlings,PO:0007131,seedling development stage,wheat coleoptiles,PO_0020033,coleoptile,NA,NA,NA
SRP155866,SRR7628937,,SRR7628937,Illumina HiSeq 2500,6-day-seedlings,PO:0007131,seedling development stage,wheat coleoptiles,PO_0020033,coleoptile,NA,NA,NA
SRP155866,SRR7628936,,SRR7628936,Illumina HiSeq 2500,6-day-seedlings,PO:0007131,seedling development stage,wheat coleoptiles,PO_0020033,coleoptile,NA,NA,NA
SRP155866,SRR7628935,,SRR7628935,Illumina HiSeq 2500,6-day-seedlings,PO:0007131,seedling development stage,wheat coleoptiles,PO_0020033,coleoptile,NA,NA,NA
SRP155866,SRR7628934,,SRR7628934,Illumina HiSeq 2500,6-day-seedlings,PO:0007131,seedling development stage,wheat coleoptiles,PO_0020033,coleoptile,NA,NA,NA
SRP155866,SRR7628933,,SRR7628933,Illumina HiSeq 2500,6-day-seedlings,PO:0007131,seedling development stage,wheat coleoptiles,PO_0020033,coleoptile,NA,NA,NA
SRP155866,SRR7628932,,SRR7628932,Illumina HiSeq 2500,6-day-seedlings,PO:0007131,seedling development stage,wheat coleoptiles,PO_0020033,coleoptile,NA,NA,NA
SRP117710,SRR6040212,TAA10,TAA10-6DAP-rep3,Illumina HiSeq 2500,6DAP,PO_0004505,fertilized ovule stage,whole seed,PO_0009010,seed,NA,NA,NA
SRP117710,SRR6040211,XX329,XX329-6DAP-rep1,Illumina HiSeq 2500,6DAP,PO_0004505,fertilized ovule stage,whole seed,PO_0009010,seed,NA,NA,NA
SRP117710,SRR6040210,TAA10,TAA10-6DAP-rep1,Illumina HiSeq 2500,6DAP,PO_0004505,fertilized ovule stage,whole seed,PO_0009010,seed,NA,NA,NA
SRP117710,SRR6040209,TAA10,TAA10-6DAP-rep2,Illumina HiSeq 2500,6DAP,PO_0004505,fertilized ovule stage,whole seed,PO_0009010,seed,NA,NA,NA
SRP117710,SRR6040208,XX329,XX329-6DAP-rep2,Illumina HiSeq 2500,6DAP,PO_0004505,fertilized ovule stage,whole seed,PO_0009010,seed,NA,NA,NA
SRP117710,SRR6040207,XX329,XX329-6DAP-rep3,Illumina HiSeq 2500,6DAP,PO_0004505,fertilized ovule stage,whole seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR5019303,OE5,SRR5019303,Illumina HiSeq 2500,6HAI,,,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR5019302,OE5,SRR5019302,Illumina HiSeq 2500,6HAI,,,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR5019301,Jimai5265,SRR5019301,Illumina HiSeq 2500,6HAI,,,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR5019299,Jimai5265,SRR5019299,Illumina HiSeq 2500,6HAI,,,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR5019296,Jimai5265,SRR5019296,Illumina HiSeq 2500,6HAI,,,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR5019293,OE5,SRR5019293,Illumina HiSeq 2500,6HAI,,,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR5011481,OE5,SRR5011481,Illumina HiSeq 2500,6HAI,,,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR5011479,Jimai5265,SRR5011479,Illumina HiSeq 2500,6HAI,,,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR5011478,OE5,SRR5011478,Illumina HiSeq 2500,6HAI,,,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR5011477,Jimai5265,SRR5011477,Illumina HiSeq 2500,6HAI,,,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR5011476,Jimai5265,SRR5011476,Illumina HiSeq 2500,6HAI,,,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR5011471,OE5,SRR5011471,Illumina HiSeq 2500,6HAI,,,germinating seed,PO_0009010,seed,NA,NA,NA
SRP166963,SRR8113985,Bobwhite,WT_FLB_7DAA_rep1,Illumina HiSeq 2500,7 days after anthesis rep1,PO_0001170,seed development stage,flag leaf blade,,,NA,NA,NA
SRP166963,SRR8113980,Bobwhite,WT_FLB_7DAA_rep2,Illumina HiSeq 2500,7 days after anthesis rep2,PO_0001170,seed development stage,flag leaf blade,,,NA,NA,NA
SRP166963,SRR8113979,Bobwhite,WT_FLB_7DAA_rep3,Illumina HiSeq 2500,7 days after anthesis rep3,PO_0001170,seed development stage,flag leaf blade,,,NA,NA,NA
SRP117362,SRR6030969,XX329,XX329-leaf-rep2,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030968,XX329,XX329-root-rep1,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030966,XX329,XX329-leaf-rep1,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030963,XX329,XX329-root-rep2,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030959,SXS,SXS-root-rep2,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030958,SXS,SXS-root-rep1,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030957,SXS,SXS-leaf-rep2,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030956,SXS,SXS-leaf-rep1,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030949,DXY,DXY-root-rep2,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030948,DXY,DXY-leaf-rep1,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030946,DXY,DXY-root-rep1,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030945,DXY,DXY-leaf-rep2,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030941,ETW,ETW-leaf-rep1,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030940,ETW,ETW-leaf-rep2,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030939,ETW,ETW-root-rep1,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP117362,SRR6030938,ETW,ETW-root-rep2,Illumina HiSeq 2500,7-day-old,PO:0025337,life of whole plant stage,shooting,,,NA,NA,NA
SRP115216,SRR5925769,5A+_NIL,5A+_NIL_8dpa_Rep1,Illumina HiSeq 2500,8 dpa,PO_0001170,seed development stage,Whole grain,PO_0009010,seed,NA,NA,NA
SRP115216,SRR5925768,5A-_NIL,5A-_NIL_8dpa_Rep1,Illumina HiSeq 2500,8 dpa,PO_0001170,seed development stage,Whole grain,PO_0009010,seed,NA,NA,NA
SRP115216,SRR5925767,5A+_NIL,5A+_NIL_8dpa_Rep2,Illumina HiSeq 2500,8 dpa,PO_0001170,seed development stage,Whole grain,PO_0009010,seed,NA,NA,NA
SRP115216,SRR5925766,5A+_NIL,5A+_NIL_8dpa_Rep3,Illumina HiSeq 2500,8 dpa,PO_0001170,seed development stage,Whole grain,PO_0009010,seed,NA,NA,NA
SRP115216,SRR5925761,5A-_NIL,5A-_NIL_8dpa_Rep2,Illumina HiSeq 2500,8 dpa,PO_0001170,seed development stage,Whole grain,PO_0009010,seed,NA,NA,NA
SRP115216,SRR5925760,5A-_NIL,5A-_NIL_8dpa_Rep3,Illumina HiSeq 2500,8 dpa,PO_0001170,seed development stage,Whole grain,PO_0009010,seed,NA,NA,NA
SRP115001,SRR5908629,shumai482,SRR5908629,Illumina HiSeq 2000,"9\,15\,20\,25DPA",PO_0001170,seed development stage,seed,PO:0009010,seed,NA,NA,NA
SRP115001,SRR5908616,shumai482,SRR5908616,Illumina HiSeq 2000,"9\,15\,20\,25DPA",PO_0001170,seed development stage,seed,PO:0009010,seed,NA,NA,NA
SRP052836,SRR1777463,260-1-1-4,SRR1777463,Illumina HiSeq 2000,96 hours after inoculation,,,Rachis,PO_0020055,leaf rachis,Fusarium graminearum inoculated,,
SRP052836,SRR1777459,260-1-1-4,SRR1777459,Illumina HiSeq 2000,96 hours after inoculation,,,Rachis,PO_0020055,leaf rachis,Fusarium graminearum inoculated,,
SRP052836,SRR1777451,260-1-1-2,SRR1777451,Illumina HiSeq 2000,96 hours after inoculation,,,Rachis,PO_0020055,leaf rachis,Fusarium graminearum inoculated,,
SRP052836,SRR1777450,260-1-1-2,SRR1777450,Illumina HiSeq 2000,96 hours after inoculation,,,Rachis,PO_0020055,leaf rachis,Fusarium graminearum inoculated,,
SRP052836,SRR1776573,260-1-1-4,SRR1776573,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1776566,260-1-1-4,SRR1776566,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1776535,260-1-1-4,SRR1776535,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1776521,260-1-1-4,SRR1776521,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774246,260-1-1-4,SRR1774246,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774244,260-1-1-4,SRR1774244,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774241,260-1-1-4,SRR1774241,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774240,260-1-1-4,SRR1774240,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774238,260-1-1-4,SRR1774238,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774236,260-1-1-2,SRR1774236,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774233,260-1-1-2,SRR1774233,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774227,260-1-1-2,SRR1774227,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774211,260-1-1-2,SRR1774211,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774200,260-1-1-2,SRR1774200,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774148,260-1-1-2,SRR1774148,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774107,260-1-1-2,SRR1774107,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774069,260-1-1-2,SRR1774069,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP052836,SRR1774051,260-1-1-2,SRR1774051,Illumina HiSeq 2000,96 hours after inoculation,,,Spikelet,PO_0009051,spikelet,Fusarium graminearum inoculated,,
SRP145867,SRR7175021,SM482,WT-9DPA-1,Illumina HiSeq 2000,9DPA,PO_0001170,seed development stage,seed,PO:0009010,seed,NA,NA,NA
SRP145867,SRR7175020,SM482,WT-9DPA-2,Illumina HiSeq 2000,9DPA,PO_0001170,seed development stage,seed,PO:0009010,seed,NA,NA,NA
SRP145867,SRR7175013,SM482gs,M-9DPA-1,Illumina HiSeq 2000,9DPA,PO_0001170,seed development stage,seed,PO:0009010,seed,NA,NA,NA
SRP145867,SRR7175012,SM482gs,M-9DPA-2,Illumina HiSeq 2000,9DPA,PO_0001170,seed development stage,seed,PO:0009010,seed,NA,NA,NA
SRP178377,SRR8432605,Yangmai158_T3-2,Transgenic_plants_39_2,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP178377,SRR8432604,Yangmai158_T3-1,Transgenic_plants_39_1,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP178377,SRR8432599,Yangmai158_T1-2,Transgenic_plants_37_2,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP178377,SRR8432598,Yangmai158_T1-1,Transgenic_plants_37_1,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP178377,SRR8432597,Yangmai158_T2-2,Transgenic_plants_38_2,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP178377,SRR8432596,Yangmai158_T2-1,Transgenic_plants_38_1,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP178377,SRR8432603,Nanda2419,Nanda_0h,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432602,Wangshuibai,WSB_24h,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432601,Nanda2419,Nanda_24h,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432600,Nanda2419,Nanda_12h,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432595,PH691_Nil,R-43_48h_3,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432594,PH691_Nil,R-43_0h_3,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432593,PH691_Nil,R-43_48h_1,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432592,PH691_Nil,R-43_0h_1,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432591,PH691_Nil,R-43_0h_2,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432589,PH691_Nil,R-43_96h_2,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432588,PH691_Nil,R-43_48h_2,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432586,PH691_Nil,R-43_96h_1,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432585,PH691_Nil,R-43_96h_3,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432584,PH691,PH691_0h_1,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432583,PH691,PH691_0h_2,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432582,PH691,PH691_0h_3,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432581,PH691,PH691_48h_1,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432580,PH691,PH691_48h_2,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432579,PH691,PH691_48h_3,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432578,PH691,PH691_96h_1,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432577,PH691,PH691_96h_2,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432576,PH691,PH691_96h_3,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432575,Wangshuibai,WSB_0h,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP178377,SRR8432574,Wangshuibai,WSB_12h,Illumina HiSeq 2500,adult-plant stage,PO:0025337,life of whole plant stage,spikelets,PO_0009051,spikelet,Fusarium head blight,PECO:0007341,Fusarium exposure
SRP140591,SRR7012363,L-82,ED_2,Illumina HiSeq 2500,After heading,,,Root,PO_0009005,root ,Drought,PECO:0007404,drought environment exposure
SRP140591,SRR7012362,L-82,ED_1,Illumina HiSeq 2500,After heading,,,Root,PO_0009005,root ,Drought,PECO:0007404,drought environment exposure
SRP140591,SRR7012359,Marvdasht,MD_2,Illumina HiSeq 2500,After heading,,,Root,PO_0009005,root ,Drought,PECO:0007404,drought environment exposure
SRP140591,SRR7012358,Marvdasht,MD_1,Illumina HiSeq 2500,After heading,,,Root,PO_0009005,root ,Drought,PECO:0007404,drought environment exposure
SRP140591,SRR7012365,L-82,EN_2,Illumina HiSeq 2500,After heading,,,Root,PO_0009005,root ,Well-watered,,
SRP140591,SRR7012364,L-82,EN_1,Illumina HiSeq 2500,After heading,,,Root,PO_0009005,root ,Well-watered,,
SRP140591,SRR7012361,Marvdasht,MN_2,Illumina HiSeq 2500,After heading,,,Root,PO_0009005,root ,Well-watered,,
SRP140591,SRR7012360,Marvdasht,MN_1,Illumina HiSeq 2500,After heading,,,Root,PO_0009005,root ,Well-watered,,
SRP102636,SRR5383935,Luyuan502,SRR5383935,Illumina HiSeq 2500,Anther differentiation,PO_0001004,anther development stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP102636,SRR5383934,Luyuan502,SRR5383934,Illumina HiSeq 2500,Anther differentiation,PO_0001004,anther development stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP102636,SRR5383933,Luyuan502,SRR5383933,Illumina HiSeq 2500,Anther differentiation,PO_0001004,anther development stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP102636,SRR5383901,Luyuan502,SRR5383901,Illumina HiSeq 2500,Anther differentiation,PO_0001004,anther development stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP102636,SRR5383900,Luyuan502,SRR5383900,Illumina HiSeq 2500,Anther differentiation,PO_0001004,anther development stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP102636,SRR5383650,Luyuan502,SRR5383650,Illumina HiSeq 2500,Anther differentiation,PO_0001004,anther development stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP083118,SRR4085101,Kharchia Local,SRR4085101,Illumina HiSeq 2500,Anthesis,PO_0007016,whole plant flowering stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP082996,SRR4067818,Kharchia Local,SRR4067818,Illumina HiSeq 2500,Anthesis,PO_0007016,whole plant flowering stage,Leaf,PO_0025034,leaf,NA,NA,NA
SRP083120,SRR4086039,Kharchia Local,SRR4086039,Illumina HiSeq 2500,Anthesis,PO_0007016,whole plant flowering stage,Root,PO_0009005,root ,NA,NA,NA
SRP083119,SRR4085446,Kharchia Local,SRR4085446,Illumina HiSeq 2500,Anthesis,PO_0007016,whole plant flowering stage,Root,PO_0009005,root ,NA,NA,NA
SRP133837,SRR6799268,ChineseSpring,cs_spike3,Illumina HiSeq 2500,anthesis,PO_0007016,whole plant flowering stage,Spike Bottom 1/3,PO:0009049,inflorescence,NA,NA,NA
SRP133837,SRR6799267,ChineseSpring,cs_spike2,Illumina HiSeq 2500,anthesis,PO_0007016,whole plant flowering stage,Spike Middle 1/3,PO:0009049,inflorescence,NA,NA,NA
SRP133837,SRR6799266,ChineseSpring,cs_spike1,Illumina HiSeq 2500,anthesis,PO_0007016,whole plant flowering stage,Spike Top 1/3,PO:0009049,inflorescence,NA,NA,NA
SRP068156,SRR3090577,Fielder,SRR3090577,Illumina HiSeq 2500,anthesis,PO_0007016,whole plant flowering stage,spikelets,PO_0009051,spikelet,F. graminearum infected,,
SRP068156,SRR3090574,Fielder,SRR3090574,Illumina HiSeq 2500,anthesis,PO_0007016,whole plant flowering stage,spikelets,PO_0009051,spikelet,F. graminearum infected,,
SRP068156,SRR3090007,Fielder,SRR3090007,Illumina HiSeq 2500,anthesis,PO_0007016,whole plant flowering stage,spikelets,PO_0009051,spikelet,F. graminearum infected,,
SRP068156,SRR3090006,Fielder,SRR3090006,Illumina HiSeq 2500,anthesis,PO_0007016,whole plant flowering stage,spikelets,PO_0009051,spikelet,F. graminearum infected,,
SRP068156,SRR3090690,Fielder,SRR3090690,Illumina HiSeq 2500,anthesis,PO_0007016,whole plant flowering stage,spikelets,PO_0009051,spikelet,F. graminearum infected and exogenous application of 1.0mM gibberellic acid,,
SRP068156,SRR3090689,Fielder,SRR3090689,Illumina HiSeq 2500,anthesis,PO_0007016,whole plant flowering stage,spikelets,PO_0009051,spikelet,F. graminearum infected and exogenous application of 1.0mM gibberellic acid,,
